Account,Token Account,Quantity,Percentage
HRTPniSY2cTvyCPxvTLHrJZKtHA3i1NrHbtpf1JnrrhY,2gxgxWk7yiwDqpr25Zy6jTHM3Kp2xfrwsZNeRTLPosWP,77.770896674,0.01
86aZZ78UzP5hQYhgvZs7rgAtgvrC1m6RNRMxiAwPP1Xo,3pyuiEAa2M4JcCGtE2AWJzPp17pX6Z2KBs1dWgDHNstN,73.486222243,0.01
GqG671tGbHhS2qFscs393kwjpRQcR6nedQA5xHu2Lq8,3UKJ5Usp4JNxYNRM51KZJ1bKswXsotmAtXRFdYhf4RhZ,72.87691906,0.01
AZqSHnQihmgHewr7o5f9xWj2BLiqTMwYQ8cMAr1CREBz,A5cRGz8SyzfwjZPDYH6MLBz4JJDsMpJtbBRpE96LSRkL,72.532672328,0.01
7xWzkwMA16ua7A4ZM2znb1rVKFNkjdZkgwojFjt2XuRy,2HtcozuVr3E8c7eoCX8wbhPv9eVarvW8sEAKD2RC8a7q,72.172631935,0.01
9wG9vEUcG26nSjgMvdmnbRSf66PQZWeDiqYcELQ8T9pz,882iFApfdsYZy8um7JrZTP7co2pP3mnN1LBGSVEB6GtY,71.560173347,0.01
9WV1uosXcbtHxgC3dDWZ5BncXVk6CBUudoamg5x8z4Xx,8bXocsWduuH5d9ti7u4s3nooFjZSQu6gMNvzG1CjKF4r,69.248593318,0.01
EG5oaoDfKwMPbRx7RkzvL1QBQU3its2eZdgQYvRVDkb6,4tdfEnjiyuEPNNgrtpbkZz3CGZhGbRCmc2YgsDJQEuB1,67.845020728,0.01
4cSVe8mr5soUsNt2CK9ZRHXmiXpYvjVgcNZfLiG3GPUQ,FWTqzp39eFq8fHX2yE6ytWY2Cp8cKsW9WsYqfohLbez7,66.10593511,0.01
8CqBG7WkAZbmJHURGcEVuUMwjSKXQAvBzNvcmD6aeEfu,9CS66Pn6P9yXnjdLuogxRQ9dMMCGMHAkHuW1EyWeT65m,65.526749381,0.01
4yEHwzLNfqjKe3xZc74utHyqxxwib5rNsEPWoqDCyuLA,8kHorD6YgDdUUiVx4d8QjzuRxh4FDphxpiskTKnFt7XF,63.934834736,0.01
8A2eV2XPD7hrTiqQG83sEK3htdNPqv37TrnUs6QNDmzz,HPV4wveNUjUYT7e9jnRLLkQXoh6HWJKFvPpMGVEjiYYk,63.262180059,0.01
E5eXEFGqTtsCcEoKP5kMxL2citrHs2Gia5kXKuGnMnFR,G3xituY8gAscQLwS2kR3N7iT4YNkJgErv2aqMTkgyGEQ,60.852680417,0.01
AtrnoCoxV7UUQ6i1i2QKrr8ZSohoqrmSFFgkPCHnd5aP,6CBccARGfGGiFGXZxGCdor5K2wc6Kz8EKjNf5KdVj85e,60.322983203,0.01
4YHMmvtc7q3cXtzhRB59Eo6FntF7BDqc6uYKx1eFGV36,235BKSLrdtNKpme6934t9UohUUUTtoQd9uwwZgsESoXa,58.009297713,0.01
6b6sJUmJsCV3HRMGM7P2s7c8VqyYxhJusAKjcFgXGLBu,6GU2yyHRwDisiXAKeoaHymEcTiLJst9QirSGpau1D8i9,56.099499263,0.01
9jDPSK2QeGYzxQokZw12PEMAgyanMvNYqaSNZVo6KHWd,GDypAjrzRzUmQABmzpaqkpXaWYnshYM8xuQxC8Mmx6Q,55.899951791,0.01
AfVFHBNSjKoQPydAB5G3ZJrdNVashM135ZUPQfKzgt9T,AEsngH9i7a82NqEiUSJKNtGn6uTtMBC6tXRrEe9RxxkS,54.248303388,0.01
7dD876dmMHYrEt7u8ffgBPBiS966w7EHzsBn8RiK921K,HqfL949sEL9UMUrHcqSUhuv5in2dR2Aepym55sGgY2K8,53.519456197,0.01
CYSsQsbx2YVi1JKiZua1PQubt7QuAFtJ9HY7xYUKGN94,G4XEtwdaqvp97Za1DkM4hHu3hqArJu8fX2CHy91bSb4T,52.629461785,0.01
6wNSyKZ3oyBo2g1oLQiSY3zfvAABt6xjeiVptXAWnEMz,8ZGSdCUawBV1zuo7TQ9AQNKB85ZKqUAAe83d4eMrRgV3,52.533493812,0.01
8TeNJrAGruj6Fz1dvZDuXmnUZCrzjbuufHXMo45ToAhs,7EHu9HS7LMbZhTuvw6UMuHhNXKd2oU32uKTEu6yC6umz,48.071179273,0.00
FH9EgUg56hqgW9FPbD36h4pdcUZ7J1yuDERi8qQ6kc94,DuybnmhweQhMuYHsxPwYY6EcPyYm9nHi7d1i3uAfj9MJ,47.16233752,0.00
J8vUCgYY6EaGoGeELgJbaEEuA69YDQjoPyaC4PFW8gdT,9SdgiJr4uMtNC7xE8WnzfzV5d9qLend2AmY4vxYdbsFP,46.629052614,0.00
B8pqn3o4nZBvCebwY5tcjadTa5wy87kerdpEv2nWEviC,HLfKbcNqzsD5ck1H1d9edQVT4VVDALWZfYzAiy5S5yBm,45.664647515,0.00
2URyBdmYSfrp3sotS5tn58aqBbmHF7SF6khVHYncA7aS,9hBsfNJRQV7JVjamPtdk4G8YnUXrWGvVYWZZNVdaxJcQ,45.596034219,0.00
6Z7Ns9SnPfGb9KCpXzjH9V59i3PRJiTjGFTNHLe7rCTV,Eonnkpg9FHXBxjaQS3JE8qNMXobC7QGunccMMToHtghn,45.58102068,0.00
7QfNuNPuxwqs1i334M4AUmmNQbZ3eWTaqBoodRNWdMqv,7gxhpwmwWgNqPdfUuUBn5g3Ry94eJP1efPuNQM7Pmq8L,44.565641087,0.00
56AKFMjmBbBDFhzznn8caBPBjZ9SF1rPDFpJbTTPb5fT,DRRSrgef1Rc3VZG4mdGaLvMZ3GgQVLwBN43WpTbkexMi,44.03137479,0.00
8VQcm7LUxrpbb3E1YabvXeWFhkmBmND9APwvvQhAgQYf,47G1TfAs6XEDR4R2LjZZCTcxa8NeU24xegDFbYFAnSZz,43.842304624,0.00
891JeJMBbbWemBnBbddBwtxevi2NHd1ppmkSCpgcRDkG,796JuWK9PJn8DojwCpQRDer2pX5AWdYd6HFLEGh99UCv,42.322638558,0.00
J1M5g1nJYwZUPUc38mSZXsB1aKTz8GJyPHWmnEHuvtPr,AhDxWcePzucfMFnzWzeMRh7ABYCMiS1a9qunZq7kA6QE,38.137846607,0.00
52uQPJhJcCbR9MZStUdK6iMSofbyqiPaaXn5NZfwEc7p,7DWTChq1qGuQtEcUrTGVuZNicVEUkVRHnU5WZuGfLjcQ,34.747897775,0.00
EZtjnVBLs6AcVYtAonRtR7x8cmovUQa3b7tyiDqBeuss,GddqX6V6VxFSE5rtP3cUrLgsZ2LofRoMKBD2rg8P7Y7G,34.381221106,0.00
FqsQ8RXLmPuqDP1ziezjeeUNb9xmiR91aAxyCzTyMPGQ,A1i4XaX7NyWgAZkbCVacsAdSegdYuhXPPz6KDWG8bwn9,33.887952241,0.00
6GULcwM9mrhpxBtzLAFLmSQYDum2BSUw8Rorwgtz1NJK,477r97jLEiB4ZVLbeGnJaw9J5CbvsvNGmvrfQY2h2ycy,32.994034161,0.00
BtgUsoQCEmEjNA28jCtmGLykq3MdPW4RgAciiQ3gAot1,5mv24aonzbHZnWExXjFXYxTokeB3nk2HsdsMUoyCFy3Q,31.700016449,0.00
Ew4oi7cibRKbumJ48U9zhdpG8evPjgeWg4s4wZc3VUEP,53VfatYR1qr7PqDfzn7iyKwfBNPmuQsT2ikHzqAw5Soo,31.060773943,0.00
9A5t5znPG6Sm1ssxyaRSAkngdApd9TqxBPkwhFMkmn3J,Hs3DQgYiKwNgC7MBktXZbtHkfZCXYprn7ushyc6kmr61,30.976731008,0.00
DGYvuTNRqWY6Vf8uaFebzoTLNyWmbnvRhGtfAszHUgB3,CKd5rgdppLu2CHRJdh6vyXNJrmKSWYFweh3JNzFVjf5y,30.394836147,0.00
D2cRGJoMUDupUtosrGs74jrYYSF43hS7F3fTVrqEn5eB,3JF4fEEFr5FHTmSSaUSfDgcEUFECyw4NFcXD5YybtGww,29.808447549,0.00
7myou9wEVoEk5KfdaDcUQwTiYf3966wbMgQJ3LDMywCA,2w52FgdZoa7r9bo3ofgi1hyXiLNnmwKG93zYdk5krzK9,28.612685351,0.00
HeSNKvvgUviKzVfTfiuEeYMey3Xsh7kMHBiEmizN36GD,5fDbUwQE8DUMTrBPp7ZvwLA1YzaPtMwMUSMZg2frYotx,28.026239146,0.00
4mEsCYg432RFUYvAvwYedxfHhougU8kyyq6Nf51y6DsW,2GvNz6HbsidMvxNAwhi4jWPRgUVf3sbhvTBgFmhfXQXn,27.879306007,0.00
DKRTwsMQPZ79Y8AnHZEfKLDpiPVFnLQB5Zgwn8WjBN47,6PiyihergV49BtfPRJ6VuT29CgbaEchc3a15M85nzUFj,27.439518685,0.00
2nf3AyukRAsXnUZyHTtqRbB6tznPUugrzsJeSUepmP3K,DAqh5gCGPN76Z9c3N5gBdaTMxAmxBzrrN6mFoVzgcFS9,27.314255076,0.00
98svqAbmpe4t4MccFj9wVkAvqnF9Z7uRLMu5mMYKfhXg,3KtEno95ZxjbiWfNfYczo9YY4t8E57YA7z4QkRu6vh67,26.969239405,0.00
ASF4WMoBGZLZhE82MRcc7uET18oMqqdZxTjke4iApG6J,GQ5DayFo1BPKfYJzSoaTdoVFpRVZPujEfM1h3LiuiVBU,26.544420812,0.00
j34dMtsaMEJwk6P2F81KnAe4oqHzhpnTxApaTPryTuS,GasERhiym3i3FTCx5joTwnvwSKQfhMB1Ah6Xoncjf1ZU,26.412825968,0.00
5BYZh23ZjUdTgdzmLZmALRh2qYSYZkh4CwzsyeQoFMqk,AU7XF4wnZeAkCxWsB8FECuhUUUoLUSHkPWCtoCY38yHe,26.10171036,0.00
BUoj7VDjzHut8Nc3azjpKLAJ7hwXgHkP8TK5wXtgLAQd,GA1JqXgEEdPtj8nRnc78kVGjXH96LVhZgBNtU6MDExFD,25.350963508,0.00
HcDdg3svjDsgDoGJt9kB8xHjzrKukSEndHKLgJ3pz6uR,FaLbYUnAB9HYimJ3XMcweGLZrsSVPVFqXcec6qGBYn99,25.118443315,0.00
4JgmuBp5XVFktqHRaif3Gx5uqf8JynMdwiEV8N9opDUa,93WRDe96FSKV1ekaKmACeU6t1p8L1EkCwXkddNEd3sZt,24.487428539,0.00
Fe4fyx9TdiQdEZhNV26v3cE2hMtP1CjvrdnTmifuxQ6Q,kzUbKvReQt8cUg461ie374f8QBwiGr3pHV6rdF5SZq4,24.442984498,0.00
8jYGUhP3fxhptFCRhXrgYQWEGv6dmMve5ATWy3Jve8TW,CH9gs3Mo1cpLPbvScPqfuYV2TxhoncgezppjWjXCMHwx,24.400124471,0.00
CDSBLfxNTGxVrvypYMn5JZ9oGyPwPfeSCYqa2YZzHSeN,4TqSzxMipWYZXamipgdZtgGcDmWRYim8cP89pbLKDxUB,24.21463241,0.00
Dia6tPTDKpoGhdXUdVcTwf9SCNkGc7MnuDNfShPaq7Da,HrXK89pTsAy87GaC9aU7DgqrptCujnL4S8uuYL8vzhZp,24.204224014,0.00
9FyKJr6xsgwWb48tTu9eB2yf1p1QbBqW7FrSbaGEtgzL,3atxajKE3F7k2jYjYFm7LvYvJQEEZayEbtaXP4p7i4s8,23.763878351,0.00
ARGN3WWDE7r1xuYeTWw3TrWd8FhroAWQGxarDVY2u3JG,F2ipBudXhhUKpd9Na7KsGdz9GaBzVhv3A1v8vnkxGEwU,22.773058201,0.00
CvhijWCteV4Np4dfLmV258rNVw3XGdwAZNfCK3fqwR1M,2pGgxVBRQHipFXkLc7jVCLA9ZhYTT1dfwrjATdWtbgtp,22.737122878,0.00
5iVdFbWt2qzfpABD2rR2yeXaDxtxQAyewHhSFj5Dytpx,CX5UKFMVBxvmbAJQW7w4mY4ij9HBjHdBzNceXW4rf1v4,22.430735231,0.00
6j27PBGtPcX3s99yzpSCtzxr7k9Lv4mfK3JDMxHgx8Mp,6EfGN4ymJLez4GdDfjZYsJy5f1c9QXRTpo796xYxQt7U,22.33777112,0.00
EZiCVKMXCGwoWmpwyKrinB7yLAbwiXWaHDEYjpmAnPEr,4GxqczSA7Re7hpXDFuXdTwDA83rJJheyLrxYoW41FHvn,22.273242591,0.00
4pqMLapwRs8UKT4QQnvusQaUbojEDsCT3Sy2xEf98naK,GuofjUV2wZaYqkszHXfHxRi5fbEZ9KtWHkXR1brpQhuN,21.93597827,0.00
5ZvS8tDx5sCnx8TcWfAbQd9j6DF5uQGoADerhr1Go78o,BcMEKj7ZqqqeSuk4VjndKqpbn3f83trL9SRdgy3VFxri,21.150853318,0.00
8xzYm7nducL3AAHmdiDZJ4UsUBp3fCYaQd7FuACHJjVP,9z93Kxxif8ymz6agLvm6uHRRA5a8QbZG2ERgrLCegNF3,20.811643438,0.00
Hqs8ztcbh6zbEVWcQAPipkhaZueHLLN1sXVKq88u3xTr,7P1YL6T13VQTUBaJ2kmC9VZSqsyBUgDqFUnG29Kf5mMW,20.80424886,0.00
F1iRGYVtQMPii4jtE1QxZ7hwYLKnST9FQUErpnfNgN5R,9c5JwYJeXzt3a7GX1yLRDFrvANCxFUeoRgZeTgQPZDtr,20.573553676,0.00
AwQ7YpTtt7USeSCphffAiZrceAdyPG6PMU35cSiQC9xf,2X5uTwpuAa9VjehkwfFwrJwTZ8KX7FmSyvrqHghfmdwo,20.567331968,0.00
9b7CPGbznnQZgfswZQsXV4Z6fxvqjnutgH3SVN67XwEM,4GtZaGHsng7pvo9PSTkKKzA5mCfeeAqsue7rsnW3b7K9,20.336656287,0.00
Daj4gvFS1QpEno6YK9RkrGckmdQuZZsrH6M7ksAy4usc,7NUm4AcgJHU2JWvy2s8xrSwaf3pQWCCRyYJNgEQBH2t6,20.137019871,0.00
FXTFbKeBSjEkGLVpgfRvwgXCat9weAd53NTQVNZmjz2k,Ff8LZPY4FK6HdsWdf6ZRUgq6KLAnzmXCUkhfpLvD6H3c,20.076872903,0.00
7r6RRBAovVNDW86pT4stuwpYVaPPuQcGaaiAELcLhUF6,9PkeUxSJK88KrWiqJtR2DwoPdKDzRzv5ctFsHbMPkQdL,20.075843813,0.00
xukADzDrUZYWUrzXhzq5FoPWH9jgLbW26cLKDFZMy5A,E7kzFgJQCVwpUvAnQvaZWMzftrHipAjLFRdynTtkqAyQ,19.558189614,0.00
A5gupSJMu9ZuPargWQ12Dowj6x4cpHToD9cPWmHkuRfY,9KtL2UGDiduitcuwfXpFWiigdiMUuAhcpJYGAHpnKbpp,19.525666026,0.00
Bdqvu7zU46Vz3REPXc4tuMnshv9yUviQ5fUz2AyTQrE3,GruvC7CuvXHumDBA5vVwXPKWeMW9QM8FnVn6mg9ZPEz8,19.496131301,0.00
HG3i68Nomx3KepkU9i2s7DD68SZPdj61iiiMWtdN9wM5,3ch6amoJLK3bLHY4pFgfWSSKzx4S6PzbPwuoZiMnDTyZ,19.301808065,0.00
6WkNE8SLY9AbGWT59mXaRQXfh6ugj37APArNUf5FK8Wn,JC5j82dk9Ji5bQpB3rK2CLmGip7CCC1eYkNSUXfjyCue,19.286840098,0.00
4NsDRfbJbsQUDN1xP2bU9MbQWos1pMxDzRzu5uWSU8ed,7ppssfewsLq2ykByHWhUzUG7Pa1Fatz3hAjsPxcdo4rX,19.133638249,0.00
DQFZL6zW4Fq7WLXuLaS2grwCSsz6vorsZ35KPs7aLgXY,BJoXncfCC2hzPimpptM4CNdadDJN5qsHGEEW4Ro64wTP,19.038584238,0.00
GVdhhENJH6UKFzTYkZjXfiHv3fSVdzmFovTLn1ksJ71p,HKGAX82k1mmcR6bHDVhw2Qj2XnQ9bqB8Rdz8dxyGYXyX,18.949619872,0.00
GkuVseRvnhzhigd7mcfRdiQA5EUfRSredZJ6Z5X4eKMt,9euBjkLyszrynAr6ZSCXPQULhtSKRPJimQbx2Q1smFcW,18.899165874,0.00
6BEoWqqNyvuDtibDStMWnyVw1V1y96WgABA3ZmrQhpBB,6xMaEijU78q4D7hjWHiz3hvjD5qbCYUnYnLH5Z6vwPXk,18.868707789,0.00
HNyYnEEeuXfbvDUkgjxukB9pguHmnnLgPKRmz1YXHafP,75FcHbd8Hdc5g8Vzh2WCKZSK58Wz2vY2rkHR1McVqrzF,18.853566476,0.00
BhMqx1ZKhfreE5BwcvzLNKcyVE7mDrC3BnrDKdwPmiY3,4iUKAH7v6Phbu69khk59wSNJE9PA66AG2ZYATCh7c6CK,18.85160664,0.00
3Z6j2KL4keL23xZcMDxtJ2zv1sLHi7oGir92pZpzdJ4c,J3QwyHs8Whos3Y9ASExr5NbmD1z73jJR6rJVsgbCJRAP,18.491782819,0.00
CxgS6dJVdJcXNQb5cuAMxezHYcoWrcBpkFBuPrsYf7xv,CNa3xVKjkDgtNJARkhyWr1F6vHnRWHdRdZjcCdUdbqfR,18.475725287,0.00
BrfXjRAVJfqHSJ6HrDUnzXyesD3GgRGePCEcGUyjmUnL,Gc9dfVYcgrEQbi2KqRyR4tnyJz95XV4L7ZWfPkbCPtZq,18.332962944,0.00
22RYdyidgKKrQFtiA6uxSkbV5Vd5TkQq8RSgVCxMoqrh,8kbF4LW78Z8bjfEN2xfNjmPPbJrEgdPqxLcmHJey5UfV,18.039230053,0.00
6apJHrtPVSZqSr9G7hgA8hX6aWPRxmTPnGAjpQp3HDLZ,Ghg3J8VzdTzHQWkdMe9hv5Jb2LtRqFcx7CbH9QEFLPR9,17.770481922,0.00
FMhNuH33qBmFoW4tKYaSE8SW762wSN6b4AcE7iXQsJ1j,2nmFF3GbzYQEG82ssRX1n9KvqMTDTy9kSpSXfVtzCKkN,17.716958013,0.00
FKYoJbR9nqspRqCTSXYCWreasPhpYfEmAPTuDDZ8yjxb,GoSELb3YRPRN3joDwtw4RSxqX2gbbNEgADNSX7NeEota,17.646469537,0.00
69PcWQejdpo7tmEyM8RofEmqnYMQca3FeGNKoV4y8mxn,Hv4dKMxzu3GKRoVj4kDMuB32B3QSL7qmGzF2HV4Lt3r6,17.38567309,0.00
244cMF1jPcehkMLd1qxYKsotJQm4Tob9noptjU4tqXEn,EZgWe1YAGrCWfEsTXTUtBVVCekmZtFPaLuLxqTrE8i8H,17.322626261,0.00
wuL77pKofiSZmddZwoskCfhaift5wdaQqRyhzzwGFz1,763UQvHC6ZimMw8K2WDTJDck71NrUW8MmZZs3uCASNtt,17.019881051,0.00
8fuuurVjURdpiQfbVRjRsQ5pBxuFkkmpbAvxgemNpZXH,5AGMgPdcPMAmEnv4kE4kvZ1LepZkEYs5dK2z9LfFhuFi,16.874670369,0.00
6b9YA6Gu89J15QdqAbv2eEs7NSYQtqUAWzpCtrqZh67K,DbfTFANNM2twc1r3bAaSJYH4azbcUtZU99NYtLmUepWF,16.737294626,0.00
B52kJApZrGmFGDtswYbmq3bHJ6THc4Tek6N7CZUV7tHM,bgiVK5vi8SBcCCRftau7r3RXxsaG8YQVyxiyQn3ScnD,16.238888931,0.00
8RT9VFhQ2DniQSmstuazDpaqtQFGv2VMpiXH2kDc5KcC,98muzNH2cjjgoPVR87WcniAGdJVtWTY6J6TzgsUaCHq,15.728050411,0.00
BFNbXJfpaMaUpKpTiavRvK4cURLbDE3pDFgjyKC4v7Fb,CPxHaPpny8cBjQG7jtE36M9N9YkLPg2pDapNmhbsXF3N,15.691728106,0.00
dmoDNX4Qkq8DvHKReegXNefRrY82bVqFarUG5pudW34,6ToBKuzXug8hwHLqG9Mxt2UDyN2r9SCiniu3uceoxE3r,15.550207156,0.00
2uTExBTJwuHmyyuSewANcMx7EQ577EjYRrRjJHfzNgde,8CMzgEQKHoFEFCqDhWiSaq9dQprGAs4sbSBMgDxJmYVd,14.8925202,0.00
DYPe9NwBNMDfF1TDp2UKG57j4KycU1xYqfmefdS8DQVh,FXKEZMumcghoUS5phCuZ8mXKzH8FuhfHQe2GvzN6TNzp,14.691480186,0.00
HeM23XsqNEk9JAw2nnWvx65UjzGfR2GNH2tRcEMvjXpY,CnTbfWm3ekgWqik5WLnR2VNBuUbCJCNqnn5uCeNYnVW1,14.551961137,0.00
CbxcY7EZDjLP48drNgVGnp2SYLENfLgGWpenrXTnvtN9,4oZyXRn5roHZVPsUtQKCWm2VsV3rhhAxAMsFF7zBdKhi,14.072785877,0.00
J99xJeCiaq5h1qe2iEUmPnh5z2XTtZKQ5xGeLb3Lns6i,EATXd8wGfJ2RouNyYjqq5ZRY7GpWs8qoiGeGfhUZ7864,13.826142273,0.00
FV5W7wict6MKnrUVQwuyoi1RXZy8YYC2NicjoYnsu3xT,CyVDYsbrTuqFKxs22Jfmh13P1zFxGKc9R3SgCZpqZH7Y,12.803806741,0.00
Ex8PVNm1sMqhNKAP3i38axiLsEwWVwHA5i3RCDrWSzQ6,3y2RZT5MpQ8Z1xAiDEbY4d1NchPJ1HDNgEid2TXEq1iu,12.696278489,0.00
HMFCDpPCAXfDY878LcnUAHgqD4kBJ4e4N58NoYY7eA5z,DsQgqFNVshSkzVCLojbeRpj6QRJH3HL2fvnBwYNa5PCe,12.483710903,0.00
9e9qB68kbimhFe95Gmn3MZnMPKAsbWh3yrEBxKrEeyCt,wPRMqona6w82mhUMoUWMmjHMPpZED53paAmDAtRTzvE,12.418785098,0.00
3gfWRYTD2EsfjLoVmrjScFAxcyRDV2JrzeweocZtqomT,GBkYXeR2StZGvzMpUxxs9qgx7XL22qU3dxFeceoHhRKH,12.317919803,0.00
4udcFroJALYZDeoMR7Di9fcQs6V6b4GnRZ4V9WpXRGU8,EdZMrGCf4kUUstocrffghFiVhsvy2X6TeWLzV6r4ixFX,11.982653975,0.00
FMdEu49xbiodkESsTWCasUPG7ezHU9LhHQKso9GDMXnq,GmjSdFW2iSWaEi5WYoLZWASdeoa7m9MSVGYygkZGz3C8,11.982495267,0.00
F97maupyExebe5Z2ZLHUFJQ1CdhHFyhQNau9RyryZcb4,AYX1gocq8Gu4Ya7siCcQ7XtEVezbL5sTEic1Ci4cYjfD,11.981907981,0.00
64aJ93Jvqo1K6sf3zm8pLHaro6itpdm2gVXhpp4Q43k,E56EyStu7usFWCdz2GbKGQEdyfguXi2jsnYcyVLHDEhh,11.217694669,0.00
6wePVoxwszgHF6k6z3gbZpEWndhV4Xyh6KwjKbe4RE2r,5MTERDNh1Gj2PojLYN3CACa7ivn4KroRbCt88899F6Qa,10.938881445,0.00
83rycFAfmn4NqbzCgdgtbxj7yGiSK4b58SDBUAuYZXQu,2zfH9VHfhdDmcSoxwdTWR7Cwnq6QY9KqEyZDKXUeV5Zo,10.862578225,0.00
FrK5Am3ii2sgq6AKhPMvnDyq6XooZDA4sARHfJqDKZgK,86q6hJHF56TCeRXg5ioCvinKfrdT1ETY8CxJapQxz5nG,10.767256526,0.00
BCkTNGLe1TXxnPnjJpWdmFH2Dc5co8t61Fw3DgxCfDus,2NWpoJidqq7ZFK1PZvwxVfPn8DLZndnKExTt6ZqjCFE5,10.510237937,0.00
DMAB8ZMJUaiYQpvXhGQKtBMSMue5zmrfToMpxahMHkLz,FMooZGhrfio4PeDni4oarNE75e3WsABsBVf9zLqNbvQZ,10.346496508,0.00
HJ7JkjaxWXszwHYu5mdK7k395wMpdCWkLN58jcwnUKQR,7Yu4ykCjaY33w6B9Hg3M2gwGQn65LifKniswhp7JEkPT,10.213856162,0.00
7zQVMEjnC3LabCzfuAFBpHfs4FUfrzceMuYmq9sGTvYN,E73KuiPZ1ufEbswc3oFWNwfpLDAE1uPsbMB1nWor9eCh,10.039149207,0.00
FV9Sx4MU6Ljw1nbbcko6y6AN3eDHPd7UCMLXzu7z8Sc8,9SSngmMy3GK9oar1B1t6prLSVmq9xnFsxa4QJXasH67b,9.962030217,0.00
8bAsN8vJCKuM8YAxpoP9TzTRnfRpRsquAf6bWsiYqpTF,7PmTLGgW7BRFNyRBUXgsZiqCjjxxDG9DmrxWhcQc4fBU,9.957216458,0.00
EAyPftBLdAXJg74eGMS1tAs4hVVdRAE97rdhKb4WsMNw,B8Ec4PjK8Zt1kPU2dU8DAamvBrHwykRdnFof8bvYBuTg,9.692922496,0.00
CkAgeEXP3Rs5pqLYHMeD4iapEcs8bxZGHqXPyGNs8CMa,6bBbooNMQiXpysF51n8XfoDnpvmU2tSQo4die8WWutgk,9.465041758,0.00
Frt6CUYXqhjFRSU2DrDmd8YRbwSuqQyrPqfH7uonCvXD,CPSmYarEGWae4ZXUVNBUQtSnr4oLvdYDRLMVkHbRd2rS,9.459854167,0.00
4cciUfDxjp64nVNoLLafpFTU2m6EnDrV4aWPjv9Fg54g,6SmYUZFAwyuNEw1ZmBH38cijK861MWJPWAyL9ZGakFK4,9.337770242,0.00
E8XGdRkXRAzZcVmr1Z85mB2TyTPYekhgGZrq5He6tPFX,GhCw69hYhGHRywm87pbS81KVv771WF81stW8q8XC657M,9.277613605,0.00
GBYVBPbEyoR9VdjRc2YHmC2fxepiHJn6dR5ZgPVBPKQi,FQbeuLN4o5X1QQVfwtpJeZa3rP2SWNCHZbBi7ZhVm4AH,9.137596194,0.00
DvgW4yZ4AQT7vfMqRQYGAjffXqHAXTkEzx2UudvyP1HQ,3rJd4SfRmhcqMQLaXtmLEZZCvksJawY8WRVbUr5nXuNc,9.044089042,0.00
E4gTJp14EfGURUHorMdmMQ4YYasFcAPTu4C2b6Uw2RPw,8fBQ3JnmGzCqzd7LjvBjMtn4pgPN1arEUBTtLHzC48Qm,9.024530807,0.00
8kaXVR2yRLw5FoioYGXYNihkEQRrWxWsM6ffr6RWPiHF,BEnVjK4hs17uRvd7M7Wv4upHp87chhjqTKz9uk5m8Dyv,9.008464884,0.00
EPYYgUyijGRQx49YpmUygBtBJvq9TkdCbTmmk3mLDzdf,HammF5SVLsQ1PN8voLe8jrSBNf9BVLLNjowpLkk2rPfC,8.895724574,0.00
DbHbCLxdWGWoGLNgT7srBXzYCd4XEL9pqgQ4oCBcbeYG,EheCc6Vw4qKVF7EwCgq3sTvngdZt1aBaq8hwQ924YqYB,8.769369016,0.00
8HxnxT4zMC5eoA78gsFacwxJ63Nk5FeTxNMknCXB7kP4,FdeybM6JRekh7itakVPbgWY2aDeEdGDSZLfqo8xJWEPG,8.43730495,0.00
8BihETQdk4AbS7uzEjLJbgiKGMdc9vReDTr9Wf2CmrbK,7DDGgFMPk7fG9kq3JPb49XyMdGzCxquGiNyXZC55GTiw,8.230396945,0.00
9eUR7kwQBFLg6jZG41ujT46E86H8qMfnDrLewFu8yqYX,9dDF16pSx24hu8fFpn4oCkqe9ErSWWPFP2wuXpPTC93F,8.202478376,0.00
9WSdC1anEXC81vFCACPuCbMbPaKAD4JsgDEtEgyc766L,BcpEKnN3nCxHtJQUMiKsKn54xGVpnHs6bvFSeYiUsET4,8.196657153,0.00
GXYEYorn5N5aG6NvNCBwribCP6sQXVV8xmPEamjQGuR4,CrqCT8tR9eUYrZVq3K5SKGxYF3FJ1BqRQ8nbZZoEXJLr,8.176193286,0.00
GTeADE291ZErtCHaNRTrhWyr35pT5AGasRBuQvRWX69R,3pdCRqEQfBQ9UCtQkxz7KnaEc88FPBDmby19RsUTd8rd,8.135610943,0.00
FP8XpL4WjSA296jWHrYf5hAxbRe4RqgJpDSQb8JqQXek,5HqMaq4kUYGYN5wzyCopzqPJpHj2roR2nZZNGntp2uUh,7.985183821,0.00
AFf5oFSuwNMk37ASoW8guX8E9f9Ph1d1iEZQrzGzka7N,GeQedjDcPyQEvpXCB7GeDM1M5fW13oSYq56gGWy1rkB8,7.859206755,0.00
3JUdfsuQwSP8gTqiXQQEMh1WJPpxbCYXXjiwK4bTap7T,F6diASQcmAuYjvtz5KafzGVet4p4rqSv2MZyRZJVmBdd,7.560006605,0.00
J5KVXuRd11eTY3QByQNZ8vE5fTBgMJJJdmAN5pfP7afq,3GwkcWwDySsLRDT1dbRjBZ8hqev8SVZY1kY89U2GNRoc,7.559912015,0.00
ChLALNyrNJaZcC6wkmS2ySHg6RJE7rg291n4fPXCr8qK,FTN8vEPzdCx9r59Zz17Swm3AwLR1rKuyDSGkbCJS3KD,7.55934139,0.00
