Account,Token Account,Quantity,Percentage
3RC2YpRsh9q8DarWCzHuJdjuVhGQNiiGMHRk6SXNaBJL,7yWhrbyrQx2k3mAR1ZkN32LigExz4w9NhHXqCZAFgg6A,1830.889093369,0.18
5VmpWoVL1G3rKoA3F5XESGaUwXkoZgxBTfwMcc4aNtJU,35vw8zAQqAguu5HntZ9zUdmyxA2sbMMgziKkNpNFwj23,1762.375214278,0.17
6yCREUmpNaBmGzpCH8L7iRaDPVJzYJbZv7zAn96xbcjf,n9UyfB5ZGz5J74zcRvFYeeSni7me9JL3fvqabcULkQo,1759.317767685,0.17
Dip9uiHxct5T5PPUc9YMfqxoTgAK9g5AbsbmbNgmfiPx,3mBebS8f7q8r544qd97yNnMD4wHU6Q3UmjeV6TEH9GQP,1693.466343914,0.16
FqR32TbQdKQLuvPZ2mXqm3JTsuCCtnvbRjWo4aw53ACw,Ekstz4oKdjC55dP3xNzEULVBzon4iFZiqkFyfux5Vz4Z,1383.986432058,0.13
GNfGd4ChDEKpLvJfkKCnFBEiMh3GmiQ2sisUx2rNtg5n,JBwgUuhqrTCVyg2iWkUVYXM8ejZxzWqLWwseM5LG1Qku,1319.778450195,0.13
ExTb6JwTbmNkiqxGXVoSQESEUd9cdELwKhwvjrhdRPro,9vNtSd7LhmovWM4p9sYZuhS9CLKqrj9xrjULwFqP5Jcy,1304.993213931,0.13
5prM7dQkKfi8XR8tnJM2AoRMPNcHk7yz6S7ibpYPkKtc,3n6wFea251g8qtibPswrpHYVykrECaayYcuarESPXUtb,1220.843838411,0.12
KQNrphvyEKAhACaGijatmocP6bPHSQtJxGNRYdniQat,4Tt2nkeTkUitYrUtrCuxziriiQd3qhUa3YQq6ckaR1VM,1213.723882096,0.12
vJikcAL5hr4xerzm4GMmjkBtGymYytfCBZFBaCBfWmx,5PNfqiZdJNFBbeNyMV96wXr4ssPRKjTMCoCytQYRkrdf,1119,0.11
2NfYqtfQiau9YCfjF3mE5NnuhDrpwKo8G9ZqabkmDjcA,HBjSk4ui3QR3RPJuspbsbMRUmjN63zr4Kg2xPpexEKvG,1118.700529851,0.11
75TjwxzsJHHnwGZpCdXQib4nx6crHCKWE3fpwuqvop5y,2rC3poKg8eEk5LEFHErVoM5RACsmXfpFjtVDVtQuLgQH,1055.207246811,0.10
AzVvguFZ9toKny8wu4MSpFHrthctAP1RNkCHuXKAEsRx,94Jfe7P71DmrsuyjV67R4LMekJ9jis9cZsRsvtcPRnhi,1049.07920472,0.10
4vSrnaVu6E5fu4fHXQu4kwJhgdzvwPsgBV1sCgxymHvj,5n127VtteFz1CYf8Byv2Qt3L1U9FdA1PYsZDmHWCGQPx,997.726701077,0.10
9HLwyGcBMvPxi27CfbKPM8ZzLPtb8TL1BwxiXgCo7asm,9G3bdoHoMo5sMQeQeNjGGasSYsuX3UYqHNT2y46fvxwG,982.127061414,0.10
Davu7xz51rQPCHCU3QxSDgkBW6UwtPtcbysBZzxhK3bx,E1zs5Ed8bNiKjKnduh2esZyNQFbaJuFegQCrxRJxRudB,966.487366685,0.09
8wJLoSLRLGkvZZvCT8kPV4G4PQuTf31TP8PgPicW1Fcz,9PUuywKbeK4Mywi7HaLjubgSvxkLz5LZUn8r9znaPVj8,913.013945946,0.09
EcUEaXkzqftjEq6DdFE8LWoogkwdia3WaRRMWxV6HdwX,6fXfEghB77mq8yaeduG5xmWRFPbGhUxLzKA2gJmq9V8s,890.326065142,0.09
C45LeKYheQRKfSDcFJ9kzCi3kF4hSXUaoTexr5DGvxeJ,63M16TPofw1G5XRyvFKFYeMXr52MvRMBjQEg1eJfzY9C,881.084348436,0.09
8a2TcKGpobTMTXTy5Atfk6hyQvTWhwJpPc3oZmzhKWyk,8ZRnswrvMcCzaLMdCL71gfV35qERKtgH6RmXFHciCZPr,804.557365311,0.08
D5Mfd3o5wyogZPY2pGffDkxsFWmrqTghWSSV7ME4W3ur,DrSxbw1PA8rWgT3rACNjnqw7JzrvRVSmyGuq9DNNEkn,794.90949237,0.08
FEDrgvfLxaadBN7i4eYf6w4Dd5PM4nxFguo3YVQKYBaN,1erNiG7BpP5QCkaXhX9d7PsLpdsjpU4pNHf829cWJdv,700,0.07
5ixphiMo8sFo1X3N8fkVnRFrFshXbyzeZm73DovB4Jjs,5mR6wWrJmdKSmQyrHRcKEXoPTUYdYiH1f1yVXRGmS1Xt,662.94982654,0.06
75iTmoYnuVDg6Q1XogTSYEd16cLAEX89Ld4pyofKyY4T,34gNNiDcF4HvwddBCJdf3CrRSsXaF1BZ1MjXZXZmqEQe,655.066668603,0.06
F4WgbXGQmC6nEY5FxwTkP5z6Rp8ckFTpm3wx16SM8AJ4,89Afb6k5cuEQUadacjtP97A4YDyiAX6cNtQjLdhdnV1M,578.870815146,0.06
4FeiT1XDYKzAPZstVNDADvuFxAUERJwsgb8BYnFUicFi,4VXMar4JNdoxfaXez7wqNEYutXsrJhRVLXksZhNG4PJ7,548.038598568,0.05
5m22nGNqPHJzDiSijkfPfXeSTUvczAjMzfFGHeJy4ePc,5u5iDD26mHM2XUwCVQCwVjmesBfcn9XVpVKQg5VcBxHt,507.892903441,0.05
6UBsCsuugD19KrNDCC6X2KU1R2FZQ49edUFQhyurxthQ,64vMWuf5nmSEhuh3AeZfz3vN71riK48cZbKrUPYVmBnN,493.531946326,0.05
4RwHNMiCagu8qbjujUabvnr2j5pTiANf3pGYRwLUzeTA,2kAoNyyx7smaTSZsVhb9rw5RVPSwe7BTb1hFJGoZ7Yqf,473.853569646,0.05
3dNpNm4hpcBZk88TdFCNiKreYGqATGZFM5eM7T1giRg6,7qpL42GABfd68JrvYXuUoeDdUWtsaUbeQTtHY5GiQzsU,473.448544832,0.05
Ap4jXrh9RMVWj5s3gE4nLLfXq3XVpsRXZK9jWQp7MV3K,3Kp5FX7YdAJeYnk2YNwLAbKU9DhFuyfhg27YoytWjK2P,453.044263392,0.04
CiEEKqKUG5nJqp6uqwN6aNBecZUf9B6QT3c8SWz8VaK,9ZLmA7EEMqrRZefv13qzJDWBQ49ezqssmguL1nZJm7SY,449.13752001,0.04
